Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
COST,"Costco Wholesale",552.44,-2.44,-0.44%,554.03,549.06,1394600,2023-10-31
COP,Conocophillips,118.8,0.66,+0.56%,118.99,116.49,4504900,2023-10-31
CMCSA,"Comcast Corp A",41.29,0.84,+2.08%,41.34,40.67,18860900,2023-10-31
CL,"Colgate-Palmolive Company",75.12,1.24,+1.68%,75.28,73.97,7591000,2023-10-31
KO,"Coca-Cola Company",56.49,0.34,+0.61%,56.72,56.15,16639301,2023-10-31
C,"Citigroup Inc",39.49,0.56,+1.44%,39.53,38.92,16373100,2023-10-31
CSCO,"Cisco Systems Inc",52.13,0.56,+1.09%,52.17,51.68,13509301,2023-10-31
CVX,"Chevron Corp",145.73,-0.36,-0.25%,146.52,144.23,14261199,2023-10-31
CHTR,"Charter Communications Inc",402.8,13,+3.34%,405.47,390.34,1456200,2023-10-31
CAT,"Caterpillar Inc",226.05,-16.11,-6.65%,230.54,223.76,12093199,2023-10-31
COF,"Capital One Financial Corp",101.29,0.75,+0.75%,101.83,99.82,2619200,2023-10-31
AVGO,"Broadcom Ltd",841.37,0.12,+0.01%,845.5,832.6,1474700,2023-10-31
BMY,"Bristol-Myers Squibb Company",51.53,0.28,+0.55%,51.66,50.67,14670400,2023-10-31
BKNG,"Booking Holdings Inc",2789.56,1.31,+0.05%,2803.91,2765.02,218300,2023-10-31
BA,"Boeing Company",186.82,4.47,+2.45%,187.29,181.32,5043000,2023-10-31
BLK,"Blackrock Inc",612.28,5.16,+0.85%,612.87,604.41,508900,2023-10-31
BRK.B,"Berkshire Hathaway Cl B",341.33,3.92,+1.16%,341.49,337.5,3067800,2023-10-31
BK,"Bank of New York Mellon Corp",42.5,0.16,+0.38%,42.65,42.18,3661900,2023-10-31
BAC,"Bank of America Corp",26.34,0.65,+2.53%,26.38,25.72,50106598,2023-10-31
T,"AT&T Inc",15.4,0.14,+0.92%,15.44,15.25,33688398,2023-10-31
AAPL,"Apple Inc",170.77,0.48,+0.28%,170.9,167.9,44846000,2023-10-31
AMGN,"Amgen Inc",255.7,-7.49,-2.85%,257.42,249.7,4885100,2023-10-31
AMT,"American Tower Corp",178.19,5.55,+3.21%,178.65,174,2930700,2023-10-31
AIG,"American International Group",61.31,0.31,+0.51%,61.55,60.82,3996400,2023-10-31
AXP,"American Express Company",146.03,2.76,+1.93%,146.68,143.07,3737100,2023-10-31
AMZN,"Amazon.com Inc",133.09,0.38,+0.29%,133.57,131.71,51589301,2023-10-31
MO,"Altria Group",40.17,-0.08,-0.20%,40.56,39.8,14570900,2023-10-31
GOOG,"Alphabet Cl C",125.3,-0.45,-0.36%,126.56,123.93,21123400,2023-10-31
GOOGL,"Alphabet Cl A",124.08,-0.38,-0.31%,125.37,122.68,26292301,2023-10-31
AMD,"Adv Micro Devices",98.5,2.32,+2.41%,98.82,94.07,79547102,2023-10-31
ADBE,"Adobe Systems Inc",532.06,5.12,+0.97%,532.64,522.81,2052200,2023-10-31
ACN,"Accenture Plc",297.09,4.39,+1.50%,297.28,293.08,1953500,2023-10-31
ABBV,"Abbvie Inc",141.18,-0.71,-0.50%,142.22,139.68,10394000,2023-10-31
ABT,"Abbott Laboratories",94.55,1.55,+1.67%,94.9,93.12,7452300,2023-10-31
MMM,"3M Company",90.95,1.43,+1.60%,91.57,89.41,4645200,2023-10-31
"Downloaded from Barchart.com as of 11-01-2023 07:39am CDT"
